symbol,date,entry_time,exit_time,direction,or_high,or_low,opr_width_pts,stop_pts,tp_pts,qty_nq,risk_usd,entry,tp,sl,exit,result,points,pnl_usd
NQU5,2025-07-30,2025-07-30 13:31:55+00:00,2025-07-30 13:35:01+00:00,short,23491.0,23465.5,25.5,26.0,260.0,4,2080.0,23465.0,23205.0,23491.0,23491.0,SL,-26.0,-2080.0
NQU5,2025-07-31,2025-07-31 13:30:30+00:00,2025-07-31 18:07:14+00:00,short,23752.0,23716.75,35.25,35.75,357.5,3,2145.0,23716.25,23358.75,23752.0,23358.75,TP,357.5,21450.0
NQU5,2025-08-01,2025-08-01 13:30:40+00:00,2025-08-01 13:31:49+00:00,short,23090.0,23055.25,34.75,35.25,352.5,3,2115.0,23054.75,22702.25,23090.0,23090.0,SL,-35.25,-2115.0
NQU5,2025-08-03,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-04,2025-08-04 13:31:35+00:00,2025-08-04 13:32:03+00:00,short,23119.0,23092.0,27.0,27.5,275.0,4,2200.0,23091.5,22816.5,23119.0,23119.0,SL,-27.5,-2200.0
NQU5,2025-08-05,2025-08-05 13:30:30+00:00,2025-08-05 13:38:47+00:00,short,23357.5,23321.5,36.0,36.5,365.0,3,2190.0,23321.0,22956.0,23357.5,23357.5,SL,-36.5,-2190.0
NQU5,2025-08-06,2025-08-06 13:30:34+00:00,2025-08-06 13:31:14+00:00,short,23182.5,23165.75,16.75,17.25,172.5,7,2415.0,23165.25,22992.75,23182.5,23182.5,SL,-17.25,-2415.0
NQU5,2025-08-07,2025-08-07 13:31:01+00:00,2025-08-07 13:31:39+00:00,short,23604.25,23583.5,20.75,21.25,212.5,5,2125.0,23583.0,23370.5,23604.25,23604.25,SL,-21.25,-2125.0
NQU5,2025-08-08,2025-08-08 13:30:30+00:00,2025-08-08 13:34:12+00:00,long,23564.25,23541.5,22.75,23.25,232.5,5,2325.0,23564.75,23797.25,23541.5,23541.5,SL,-23.25,-2325.0
NQU5,2025-08-10,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-11,2025-08-11 13:31:01+00:00,2025-08-11 13:43:12+00:00,short,23730.25,23715.0,15.25,15.75,157.5,7,2205.0,23714.5,23557.0,23730.25,23730.25,SL,-15.75,-2205.0
NQU5,2025-08-12,2025-08-12 13:31:51+00:00,2025-08-12 13:33:44+00:00,short,23750.5,23722.0,28.5,29.0,290.0,4,2320.0,23721.5,23431.5,23750.5,23750.5,SL,-29.0,-2320.0
NQU5,2025-08-13,2025-08-13 13:30:57+00:00,2025-08-13 13:31:57+00:00,short,24049.0,24031.25,17.75,18.25,182.5,6,2190.0,24030.75,23848.25,24049.0,24049.0,SL,-18.25,-2190.0
