symbol,date,entry_time,exit_time,direction,entry,tp,sl,points,pnl_usd,contracts,result
NQU4,2024-08-14,2024-08-14 10:30:00+00:00,2024-08-14 12:30:00+00:00,long,19112.0,19136.75,19087.25,24.75,495.0,1,TP
NQU4,2024-08-14,2024-08-14 11:00:00+00:00,2024-08-14 11:30:00+00:00,short,19109.25,19103.25,19115.25,-6.0,-120.0,1,SL
NQU4,2024-08-14,2024-08-14 11:30:00+00:00,2024-08-14 12:30:00+00:00,short,19103.25,19084.0,19122.5,-19.25,-385.0,1,SL
NQU4,2024-08-14,2024-08-14 12:00:00+00:00,2024-08-14 12:30:00+00:00,long,19109.75,19128.25,19091.25,18.5,370.0,1,TP
NQU4,2024-08-15,2024-08-15 10:30:00+00:00,2024-08-15 11:30:00+00:00,short,19136.5,19102.25,19170.75,-34.25,-685.0,1,SL
NQU4,2024-08-15,2024-08-15 11:00:00+00:00,2024-08-15 11:30:00+00:00,short,19115.25,19056.0,19174.5,-59.25,-1185.0,1,SL
NQU4,2024-08-15,2024-08-15 11:30:00+00:00,2024-08-15 13:00:00+00:00,long,19168.75,19225.5,19112.0,56.75,1135.0,1,TP
NQU4,2024-08-15,2024-08-15 12:00:00+00:00,2024-08-15 12:30:00+00:00,short,19164.75,19152.0,19177.5,-12.75,-255.0,1,SL
NQU4,2024-08-16,2024-08-16 10:30:00+00:00,2024-08-16 12:30:00+00:00,short,19593.25,19543.75,19642.75,49.5,990.0,1,TP
NQU4,2024-08-16,2024-08-16 11:00:00+00:00,2024-08-16 11:30:00+00:00,long,19594.0,19610.0,19578.0,-16.0,-320.0,1,SL
NQU4,2024-08-16,2024-08-16 11:30:00+00:00,2024-08-16 12:30:00+00:00,short,19572.75,19546.5,19599.0,26.25,525.0,1,TP
NQU4,2024-08-16,2024-08-16 12:00:00+00:00,2024-08-16 12:30:00+00:00,short,19555.75,19511.0,19600.5,44.75,895.0,1,TP
