symbol,date,entry_time,exit_time,direction,st_line_at_entry,scale_in_number,risk_usd,contracts,entry,exit,result,points,pnl_usd
NQU5,2025-07-13,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-07-14,2025-07-14 07:45:00+00:00,2025-07-14 23:45:00+00:00,long,22799.025,1,1654.499999999971,1,22881.75,23011.5,EOD,129.75,2595.0
NQU5,2025-07-15,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-07-16,2025-07-16 12:00:00+00:00,2025-07-16 23:45:00+00:00,long,22974.6,1,1068.000000000029,1,23028.0,23040.5,EOD,12.5,250.0
NQU5,2025-07-16,2025-07-16 19:30:00+00:00,2025-07-16 23:45:00+00:00,long,23010.825,2,1638.4999999999854,1,23092.75,23040.5,EOD,-52.25,-1045.0
NQU5,2025-07-17,2025-07-17 12:45:00+00:00,2025-07-17 23:45:00+00:00,long,23069.8,1,1534.0000000000146,1,23146.5,23280.75,EOD,134.25,2685.0
NQU5,2025-07-18,2025-07-18 13:15:00+00:00,2025-07-18 20:45:00+00:00,long,23247.575,1,1063.4999999999854,1,23300.75,23228.5,EOD,-72.25,-1445.0
NQU5,2025-07-20,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-07-21,2025-07-21 13:30:00+00:00,2025-07-21 23:45:00+00:00,long,23228.275,1,2204.499999999971,1,23338.5,23346.75,EOD,8.25,165.0
NQU5,2025-07-22,2025-07-22 07:15:00+00:00,2025-07-22 23:45:00+00:00,long,23302.325,1,838.4999999999854,1,23344.25,23261.75,EOD,-82.5,-1650.0
NQU5,2025-07-22,2025-07-22 12:15:00+00:00,2025-07-22 23:45:00+00:00,long,23278.375,2,1232.5,1,23340.0,23261.75,EOD,-78.25,-1565.0
NQU5,2025-07-22,2025-07-22 23:15:00+00:00,2025-07-22 23:45:00+00:00,long,23177.275,3,1189.499999999971,1,23236.75,23261.75,EOD,25.0,500.0
NQU5,2025-07-23,2025-07-23 15:45:00+00:00,2025-07-23 23:45:00+00:00,long,23108.075,1,2993.4999999999854,1,23257.75,23401.0,EOD,143.25,2865.0
NQU5,2025-07-24,2025-07-24 08:45:00+00:00,2025-07-24 23:45:00+00:00,long,23355.725,1,700.5000000000291,1,23390.75,23406.25,EOD,15.5,310.0
NQU5,2025-07-24,2025-07-24 17:00:00+00:00,2025-07-24 23:45:00+00:00,long,23306.775,2,2084.499999999971,1,23411.0,23406.25,EOD,-4.75,-95.0
NQU5,2025-07-25,2025-07-25 14:00:00+00:00,2025-07-25 20:45:00+00:00,long,23357.0,1,950.0,1,23404.5,23447.75,EOD,43.25,865.0
NQU5,2025-07-27,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-07-28,2025-07-28 22:15:00+00:00,2025-07-28 23:45:00+00:00,long,23481.25,1,850.0,1,23523.75,23528.25,EOD,4.5,90.0
NQU5,2025-07-29,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-07-30,2025-07-30 14:30:00+00:00,2025-07-30 23:45:00+00:00,long,23473.8,1,889.0000000000146,1,23518.25,23725.0,EOD,206.75,4135.0
NQU5,2025-07-30,2025-07-30 20:00:00+00:00,2025-07-30 23:45:00+00:00,long,23314.925,2,7046.500000000015,1,23667.25,23725.0,EOD,57.75,1155.0
NQU5,2025-07-31,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-01,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-03,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-08-04,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
NQU5,2025-08-05,2025-08-05 12:00:00+00:00,2025-08-05 23:45:00+00:00,long,23337.975,1,1250.500000000029,1,23400.5,23053.0,EOD,-347.5,-6950.0
NQU5,2025-08-06,2025-08-06 14:00:00+00:00,2025-08-06 23:45:00+00:00,long,23109.6,1,2193.000000000029,1,23219.25,23452.0,EOD,232.75,4655.0
NQU5,2025-08-07,2025-08-07 07:00:00+00:00,2025-08-07 23:45:00+00:00,long,23440.85,1,1173.000000000029,1,23499.5,23539.25,EOD,39.75,795.0
NQU5,2025-08-07,2025-08-07 22:00:00+00:00,2025-08-07 23:45:00+00:00,long,23421.9,2,2576.999999999971,1,23550.75,23539.25,EOD,-11.5,-230.0
NQU5,2025-08-08,2025-08-08 10:30:00+00:00,2025-08-08 20:45:00+00:00,long,23529.2,1,855.9999999999854,1,23572.0,23765.5,EOD,193.5,3870.0
NQU5,2025-08-08,2025-08-08 13:30:00+00:00,2025-08-08 20:45:00+00:00,long,23493.225,2,2205.500000000029,1,23603.5,23765.5,EOD,162.0,3240.0
NQU5,2025-08-10,,,,0.0,0,0.0,0,,,insufficient_data,0.0,0.0
NQU5,2025-08-11,2025-08-11 13:45:00+00:00,2025-08-11 23:45:00+00:00,long,23700.425,1,886.5000000000146,1,23744.75,23636.25,EOD,-108.5,-2170.0
NQU5,2025-08-12,2025-08-12 12:15:00+00:00,2025-08-12 23:45:00+00:00,long,23596.65,1,1441.999999999971,1,23668.75,23960.25,EOD,291.5,5830.0
NQU5,2025-08-12,2025-08-12 15:30:00+00:00,2025-08-12 23:45:00+00:00,long,23662.85,2,3833.000000000029,1,23854.5,23960.25,EOD,105.75,2115.0
NQU5,2025-08-13,,,,0.0,0,0.0,0,,,no_signals,0.0,0.0
