symbol,date,entry_time,exit_time,direction,or_high,or_low,stop_pts,tp_pts,contracts,risk_usd,entry,tp,sl,exit,result,points,pnl_usd
NQU5,2025-07-13,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-07-14,2025-07-14 13:45:00+00:00,2025-07-14 13:45:08+00:00,short,22979.25,22853.0,12.0,4.75,2,480.0,22852.5,22847.75,22864.5,22847.75,TP,4.75,190.0
NQU5,2025-07-15,2025-07-15 14:00:57+00:00,2025-07-15 14:01:42+00:00,short,23222.75,23123.0,12.0,4.75,2,480.0,23122.5,23117.75,23134.5,23134.5,SL,-12.0,-480.0
NQU5,2025-07-16,2025-07-16 13:49:38+00:00,2025-07-16 13:50:03+00:00,short,23089.5,23000.75,12.0,4.75,2,480.0,23000.25,22995.5,23012.25,22995.5,TP,4.75,190.0
NQU5,2025-07-17,2025-07-17 13:45:09+00:00,2025-07-17 13:49:12+00:00,long,23128.5,23065.75,12.0,4.75,2,480.0,23129.0,23133.75,23117.0,23133.75,TP,4.75,190.0
NQU5,2025-07-18,2025-07-18 13:52:02+00:00,2025-07-18 13:52:04+00:00,short,23310.0,23257.25,12.0,4.75,2,480.0,23256.75,23252.0,23268.75,23268.75,SL,-12.0,-480.0
NQU5,2025-07-20,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-07-21,2025-07-21 13:45:10+00:00,2025-07-21 13:45:10+00:00,long,23348.75,23255.25,12.0,4.75,2,480.0,23349.25,23354.0,23337.25,23354.0,TP,4.75,190.0
NQU5,2025-07-22,2025-07-22 13:45:52+00:00,2025-07-22 13:45:58+00:00,short,23349.75,23259.0,12.0,4.75,2,480.0,23258.5,23253.75,23270.5,23253.75,TP,4.75,190.0
NQU5,2025-07-23,2025-07-23 13:45:15+00:00,2025-07-23 13:45:17+00:00,short,23263.75,23183.0,12.0,4.75,2,480.0,23182.5,23177.75,23194.5,23177.75,TP,4.75,190.0
NQU5,2025-07-24,2025-07-24 13:48:01+00:00,2025-07-24 13:50:13+00:00,long,23399.5,23334.25,12.0,4.75,2,480.0,23400.0,23404.75,23388.0,23388.0,SL,-12.0,-480.0
NQU5,2025-07-25,2025-07-25 13:48:08+00:00,2025-07-25 13:49:29+00:00,long,23378.25,23330.75,12.0,4.75,2,480.0,23378.75,23383.5,23366.75,23383.5,TP,4.75,190.0
NQU5,2025-07-27,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-07-28,2025-07-28 13:45:27+00:00,2025-07-28 13:45:35+00:00,long,23505.0,23464.75,12.0,4.75,2,480.0,23505.5,23510.25,23493.5,23510.25,TP,4.75,190.0
NQU5,2025-07-29,2025-07-29 13:49:28+00:00,2025-07-29 13:49:28+00:00,short,23652.5,23592.0,12.0,4.75,2,480.0,23591.5,23586.75,23603.5,23586.75,TP,4.75,190.0
NQU5,2025-07-30,2025-07-30 13:45:06+00:00,2025-07-30 13:45:26+00:00,long,23510.0,23450.75,12.0,4.75,2,480.0,23510.5,23515.25,23498.5,23515.25,TP,4.75,190.0
NQU5,2025-07-31,2025-07-31 13:45:32+00:00,2025-07-31 13:45:32+00:00,short,23752.0,23620.25,12.0,4.75,2,480.0,23619.75,23615.0,23631.75,23631.75,SL,-12.0,-480.0
NQU5,2025-08-01,2025-08-01 13:45:00+00:00,2025-08-01 13:45:13+00:00,short,23095.75,22918.0,12.0,4.75,2,480.0,22917.5,22912.75,22929.5,22929.5,SL,-12.0,-480.0
NQU5,2025-08-03,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-04,2025-08-04 13:45:01+00:00,2025-08-04 13:45:08+00:00,long,23197.0,23088.75,12.0,4.75,2,480.0,23197.5,23202.25,23185.5,23202.25,TP,4.75,190.0
NQU5,2025-08-05,2025-08-05 13:45:01+00:00,2025-08-05 13:45:25+00:00,long,23363.0,23303.5,12.0,4.75,2,480.0,23363.5,23368.25,23351.5,23368.25,TP,4.75,190.0
NQU5,2025-08-06,2025-08-06 13:48:15+00:00,2025-08-06 13:48:16+00:00,long,23228.25,23148.5,12.0,4.75,2,480.0,23228.75,23233.5,23216.75,23233.5,TP,4.75,190.0
NQU5,2025-08-07,2025-08-07 13:45:53+00:00,2025-08-07 13:46:41+00:00,short,23648.0,23582.0,12.0,4.75,2,480.0,23581.5,23576.75,23593.5,23576.75,TP,4.75,190.0
NQU5,2025-08-08,2025-08-08 13:45:10+00:00,2025-08-08 13:45:13+00:00,long,23614.25,23530.0,12.0,4.75,2,480.0,23614.75,23619.5,23602.75,23619.5,TP,4.75,190.0
NQU5,2025-08-10,,,,0.0,0.0,0.0,0.0,0,0.0,,,,,no_data,0.0,0.0
NQU5,2025-08-11,2025-08-11 13:57:15+00:00,2025-08-11 13:58:12+00:00,long,23738.25,23680.75,12.0,4.75,2,480.0,23738.75,23743.5,23726.75,23743.5,TP,4.75,190.0
NQU5,2025-08-12,2025-08-12 13:48:30+00:00,2025-08-12 13:48:32+00:00,short,23808.25,23710.25,12.0,4.75,2,480.0,23709.75,23705.0,23721.75,23705.0,TP,4.75,190.0
NQU5,2025-08-13,2025-08-13 13:45:52+00:00,2025-08-13 13:47:34+00:00,short,24068.5,24028.75,12.0,4.75,2,480.0,24028.25,24023.5,24040.25,24040.25,SL,-12.0,-480.0
